property_id,neighborhood,property_type,bedrooms,bathrooms,square_feet,lot_size,age,stories,condition,garage_spaces,has_pool,has_fireplace,has_deck,has_fence,has_central_heat,has_central_air,years_since_roof_replaced,years_since_hvac_replaced,kitchen_updated,bathrooms_updated,has_hoa,hoa_fee,has_special_assessment,school_rating,walk_score,transit_score,listing_month,is_spring_summer,annual_tax,estimated_rent,days_on_market,price_reductions,is_foreclosure,has_lien,owner_occupied,num_distress_keywords,estimated_repair_cost,parking_type,heating_type,cooling_type,roof_type,foundation_type,flooring_type,exterior_type,water_source,sewer_type,listing_season,listed_price,true_market_value,spread,spread_percentage,predicted_market_value,predicted_spread,predicted_spread_pct,prediction_error,prediction_error_pct,distress_score,estimated_profit,opportunity_score
PROP_0000,Lyme,Single Family,4,3.0,3014.0,174240.0,53,2,Fair,3,1,0,0,1,0,0,24,20,0,0,0,0,0,8,70,52,2,0,19491,5553,30,2,0,0,1,0,45495,Street,Electric,Window Units,Asphalt Shingle,Slab,Tile,Vinyl Siding,Municipal,Municipal,Winter,849000.0,861479,12479.0,1.45,861731,12731.0,1.48,252,0.03,23.0,-47764.0,2.78
PROP_0001,West Haven,Single Family,5,2.0,2492.0,8276.4,62,2,Distressed,3,0,0,1,1,1,1,25,20,0,0,0,0,0,9,57,46,2,0,5100,1787,10,2,0,0,1,1,38512,Street,Gas,Central AC,Tile,Crawl Space,Tile,Brick,Municipal,Municipal,Winter,274900.0,227818,-47082.0,-20.67,227876,-47024.0,-20.64,58,0.03,26.0,-100536.0,-46.13
PROP_0002,Bridgeport,Townhouse,2,1.0,960.0,8712.0,55,1,Fair,1,0,0,0,0,0,0,24,20,0,1,1,101,0,9,36,33,5,1,2539,826,10,0,0,0,1,0,4858,Garage,Oil,Window Units,Asphalt Shingle,Basement,Hardwood,Wood,Municipal,Municipal,Spring,149000.0,166432,17432.0,10.47,166065,17065.0,10.28,-367,-0.22,1.0,-2793.0,20.48
PROP_0003,Brooklyn,Single Family,3,3.0,1700.0,116305.2,52,2,Poor,2,0,1,0,0,1,1,25,20,0,1,0,0,0,9,52,43,2,0,7903,2138,30,0,0,0,0,0,42244,Garage,Oil,Window Units,Asphalt Shingle,Crawl Space,Carpet,Stucco,Municipal,Municipal,Winter,395000.0,400034,5034.0,1.26,399938,4938.0,1.23,-96,-0.02,3.0,-52306.0,-2.17
PROP_0004,Goshen,Single Family,3,3.0,3828.0,51400.8,49,2,Poor,2,0,0,1,1,1,1,25,20,1,1,0,0,0,6,100,82,4,1,19351,4381,20,0,0,0,1,1,33743,Street,Gas,Central AC,Asphalt Shingle,Slab,Hardwood,Vinyl Siding,Well,Municipal,Spring,789000.0,791433,2433.0,0.31,791403,2403.0,0.3,-30,-0.0,7.0,-46340.0,-2.63
PROP_0005,Milford,Single Family,3,4.0,1929.0,7405.200000000001,56,2,Poor,2,0,0,1,0,1,1,25,20,1,0,0,0,0,7,50,49,4,1,9005,3089,30,1,0,0,1,1,34234,Garage,Gas,,Asphalt Shingle,Slab,Laminate,Vinyl Siding,Municipal,Municipal,Spring,559900.0,537348,-22552.0,-4.2,537392,-22508.0,-4.19,44,0.01,18.0,-71742.0,-11.95
PROP_0006,Mansfield,Single Family,4,3.0,2745.0,65775.6,54,2,Fair,3,0,1,0,1,1,1,25,20,1,0,0,0,0,8,78,64,10,0,8360,3927,120,1,0,0,1,1,35154,Driveway,Gas,Central AC,Asphalt Shingle,Slab,Hardwood,Wood,Municipal,Septic,Fall,599000.0,685354,86354.0,12.6,685434,86434.0,12.61,80,0.01,27.0,36280.0,34.25
PROP_0007,Orange,Single Family,3,4.0,3323.0,40075.2,51,2,Poor,2,0,0,0,1,1,1,24,20,0,0,0,0,0,5,63,61,7,1,17162,4649,10,0,0,0,1,1,47536,Garage,Gas,Window Units,Asphalt Shingle,Slab,Carpet,Brick,Municipal,Septic,Summer,779000.0,834538,55538.0,6.65,834602,55602.0,6.66,64,0.01,6.0,-6934.0,13.83
PROP_0008,Scotland,Townhouse,3,2.0,1848.0,87120.0,45,2,Poor,2,0,0,0,0,1,1,21,20,1,0,1,250,0,8,51,44,3,0,10544,2830,180,0,0,0,1,0,47852,Garage,Electric,Central AC,Asphalt Shingle,Slab,Laminate,Vinyl Siding,Municipal,Municipal,Winter,429000.0,512976,83976.0,16.37,512964,83964.0,16.37,-12,-0.0,18.0,21112.0,38.45
PROP_0009,Danbury,Townhouse,1,1.0,435.0,8712.0,50,1,Poor,0,0,0,0,0,1,1,22,20,0,1,1,306,0,5,27,19,2,0,1973,640,10,0,0,0,1,0,7347,Carport,Oil,,Asphalt Shingle,Slab,Tile,Wood,Municipal,Septic,Winter,105000.0,109471,4471.0,4.08,109445,4445.0,4.06,-26,-0.02,1.0,-17902.0,6.53
PROP_0010,Norwich,Single Family,2,3.0,1304.0,8712.0,66,1,Poor,1,0,0,0,1,1,1,25,20,0,0,0,0,0,9,63,54,5,1,3273,882,90,2,0,0,1,0,17275,Street,Electric,Central AC,Asphalt Shingle,Slab,Hardwood,Brick,Well,Septic,Spring,159900.0,155642,-4258.0,-2.74,150617,-9283.0,-6.16,-5025,-3.23,29.0,-41558.0,-10.68
PROP_0011,Stamford,Single Family,5,4.0,3648.0,7405.200000000001,45,2,Fair,3,1,0,1,1,1,1,16,20,0,1,0,0,0,9,85,74,6,1,11262,4982,20,0,0,0,0,0,34901,Street,Oil,Central AC,Flat,Crawl Space,Hardwood,Brick,Municipal,Septic,Spring,915000.0,988457,73457.0,7.43,988399,73399.0,7.43,-58,-0.01,2.0,23498.0,17.61
PROP_0012,Milford,Single Family,3,1.0,1095.0,9147.6,52,1,Poor,2,0,0,1,1,0,1,17,20,0,0,0,0,0,9,73,59,10,0,4860,1311,10,2,0,0,1,0,15824,Garage,Electric,Central AC,Asphalt Shingle,Crawl Space,Laminate,Wood,Municipal,Municipal,Fall,239900.0,260780,20880.0,8.01,260545,20645.0,7.92,-235,-0.09,21.0,-10179.0,19.02
PROP_0013,Wallingford,Townhouse,2,2.0,1243.0,14374.8,47,1,Poor,1,0,0,0,1,1,1,23,20,0,0,1,139,0,7,76,68,9,0,4024,1765,10,2,0,0,1,1,24651,Driveway,Heat Pump,,Metal,Basement,Laminate,Brick,Municipal,Municipal,Summer,279900.0,271063,-8837.0,-3.26,271200,-8700.0,-3.21,137,0.05,26.0,-48351.0,-6.06
PROP_0014,Harwinton,Townhouse,2,1.0,894.0,10890.0,55,1,Poor,1,0,0,0,0,0,0,19,20,1,1,1,395,0,6,51,36,11,0,5253,1868,20,0,0,0,1,0,38466,Garage,Electric,Window Units,Asphalt Shingle,Basement,Tile,Wood,Municipal,Municipal,Fall,339900.0,308378,-31522.0,-10.22,308378,-31522.0,-10.22,0,0.0,2.0,-84988.0,-28.54
PROP_0015,Bloomfield,Townhouse,2,3.0,2128.0,24829.199999999997,53,2,Poor,1,0,0,0,1,1,1,25,20,0,1,0,0,0,8,90,66,12,0,7672,2896,60,0,0,0,1,0,19932,Driveway,Gas,Central AC,Asphalt Shingle,Crawl Space,Tile,Vinyl Siding,Well,Municipal,Fall,475000.0,472314,-2686.0,-0.57,472385,-2615.0,-0.55,71,0.02,6.0,-37547.0,-3.65
PROP_0016,Southington,Single Family,4,3.0,2377.0,16988.4,57,2,Fair,3,0,1,0,1,0,0,25,20,1,0,0,0,0,6,48,47,4,1,4481,1538,60,1,0,0,0,2,7333,Driveway,Oil,Central AC,Asphalt Shingle,Slab,Hardwood,Stucco,Municipal,Municipal,Spring,250000.0,271307,21307.0,7.85,271434,21434.0,7.9,127,0.05,26.0,-899.0,20.91
