property_id,neighborhood,property_type,bedrooms,bathrooms,square_feet,lot_size,age,stories,condition,garage_spaces,has_pool,has_fireplace,has_deck,has_fence,has_central_heat,has_central_air,years_since_roof_replaced,years_since_hvac_replaced,kitchen_updated,bathrooms_updated,has_hoa,hoa_fee,has_special_assessment,school_rating,walk_score,transit_score,listing_month,is_spring_summer,annual_tax,estimated_rent,days_on_market,price_reductions,is_foreclosure,has_lien,owner_occupied,num_distress_keywords,estimated_repair_cost,parking_type,heating_type,cooling_type,roof_type,foundation_type,flooring_type,exterior_type,water_source,sewer_type,listing_season,listed_price,true_market_value,spread,spread_percentage
PROP_0000,Lyme,Single Family,4,3.0,3014.0,174240.0,50,2,Poor,3,1,0,1,1,1,1,22,20,0,0,0,0,0,7,69,51,4,1,12242,5274,10,2,0,0,0,3,82426,Garage,Oil,Central AC,Asphalt Shingle,Basement,Carpet,Wood,Municipal,Municipal,Spring,849000.0,907887,58887.0,6.49
PROP_0001,West Haven,Single Family,5,2.0,2492.0,8276.4,62,2,Distressed,3,0,0,0,0,1,0,25,20,1,0,0,0,0,7,60,51,10,0,4256,1785,10,0,1,1,1,0,44975,Carport,Oil,Window Units,Asphalt Shingle,Crawl Space,Tile,Stucco,Municipal,Septic,Fall,274900.0,326953,52053.0,15.92
PROP_0002,Bridgeport,Condo,2,1.0,960.0,8712.0,56,1,Poor,1,0,0,0,0,0,1,19,20,0,1,1,446,0,6,65,55,8,1,3355,817,10,0,0,0,1,0,15882,Garage,Gas,Central AC,Asphalt Shingle,Slab,Hardwood,Wood,Municipal,Municipal,Summer,149000.0,153796,4796.0,3.12
PROP_0003,Brooklyn,Single Family,3,3.0,1700.0,116305.2,60,1,Distressed,2,0,1,0,1,1,1,25,20,1,0,0,0,0,8,35,27,3,0,5261,2512,10,0,0,0,1,0,79394,Street,Oil,Central AC,Asphalt Shingle,Slab,Carpet,Brick,Municipal,Municipal,Winter,395000.0,341111,-53889.0,-15.8
PROP_0004,Goshen,Single Family,3,3.0,3828.0,51400.799999999996,61,3,Distressed,2,0,0,0,1,1,1,23,20,0,1,0,0,0,5,42,35,2,0,16166,4374,20,0,0,0,1,1,116540,Driveway,Gas,Central AC,Asphalt Shingle,Crawl Space,Tile,Vinyl Siding,Municipal,Municipal,Winter,789000.0,713323,-75677.0,-10.61
PROP_0005,Milford,Single Family,3,4.0,1929.0,7405.200000000001,53,2,Fair,2,0,0,0,1,0,1,25,20,0,0,0,0,0,8,43,38,9,0,12534,3226,120,1,0,0,1,0,14266,Driveway,Gas,Window Units,Asphalt Shingle,Crawl Space,Hardwood,Vinyl Siding,Municipal,Municipal,Summer,559900.0,627963,68063.0,10.84
PROP_0006,Mansfield,Single Family,4,3.0,2745.0,65775.6,45,2,Fair,3,0,0,1,1,1,0,16,18,0,0,0,0,0,8,22,17,6,1,10819,3916,180,2,0,0,1,0,12850,Garage,Gas,Central AC,Asphalt Shingle,Crawl Space,Tile,Brick,Municipal,Municipal,Spring,599000.0,713731,114731.0,16.07
PROP_0007,Orange,Single Family,3,4.0,3323.0,40075.200000000004,64,2,Poor,2,0,1,1,1,1,1,25,20,1,0,0,0,0,5,39,35,1,0,15861,4243,120,0,0,0,1,2,36539,Street,Heat Pump,Central AC,Asphalt Shingle,Basement,Hardwood,Vinyl Siding,Well,Municipal,Winter,779000.0,735306,-43694.0,-5.94
PROP_0008,Scotland,Single Family,3,2.0,1848.0,87120.0,57,2,Fair,2,0,0,1,0,0,1,25,20,0,1,0,0,0,5,43,34,8,1,6517,2321,20,0,0,0,1,0,22129,Driveway,Gas,Central AC,Asphalt Shingle,Slab,Tile,Vinyl Siding,Municipal,Municipal,Summer,429000.0,466507,37507.0,8.04
PROP_0009,Danbury,Condo,1,1.0,435.0,8712.0,50,1,Fair,0,0,0,0,0,1,0,17,20,0,0,1,470,0,8,46,39,12,0,2315,689,90,2,0,0,1,0,3532,Driveway,Heat Pump,Central AC,Asphalt Shingle,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Fall,105000.0,115634,10634.0,9.2
