property_id,neighborhood,property_type,bedrooms,bathrooms,square_feet,lot_size,age,stories,condition,garage_spaces,has_pool,has_fireplace,has_deck,has_fence,has_central_heat,has_central_air,years_since_roof_replaced,years_since_hvac_replaced,kitchen_updated,bathrooms_updated,has_hoa,hoa_fee,has_special_assessment,school_rating,walk_score,transit_score,listing_month,is_spring_summer,annual_tax,estimated_rent,days_on_market,price_reductions,is_foreclosure,has_lien,owner_occupied,num_distress_keywords,estimated_repair_cost,parking_type,heating_type,cooling_type,roof_type,foundation_type,flooring_type,exterior_type,water_source,sewer_type,listing_season,listed_price,true_market_value,spread,spread_percentage,predicted_market_value,predicted_spread,predicted_spread_pct,prediction_error,prediction_error_pct,distress_score,estimated_profit,opportunity_score
PROP_0344,Stafford,Single Family,4,2.0,1629.0,40946.399999999994,57,2,Fair,3,0,0,1,1,1,1,25,20,0,0,0,0,0,5,61,58,6,1,3892,1396,120,2,1,0,1,0,7003,Garage,Gas,Central AC,Asphalt Shingle,Basement,Tile,Vinyl Siding,Municipal,Municipal,Spring,220000.0,263702,43702.0,16.57,300487,80487.0,26.79,36785,13.95,52.0,58484.0,69.83
PROP_0291,Southington,Single Family,3,3.0,1900.0,50965.2,59,2,Fair,2,0,0,0,1,0,1,24,20,0,1,0,0,0,7,26,20,9,0,12440,2911,60,3,0,0,0,1,10705,Driveway,Gas,,Metal,Crawl Space,Laminate,Brick,Municipal,Municipal,Summer,499900.0,512156,12256.0,2.39,645161,145261.0,22.52,133005,25.97,41.0,119556.0,65.2
PROP_0372,Middletown,Condo,2,2.0,950.0,8712.0,50,1,Fair,1,0,0,0,1,1,0,16,20,0,1,1,488,0,8,98,76,2,0,2616,927,10,0,1,0,0,0,6124,Garage,Heat Pump,,Asphalt Shingle,Slab,Hardwood,Vinyl Siding,Well,Municipal,Winter,150000.0,183311,33311.0,18.17,207087,57087.0,27.57,23776,12.97,21.0,35963.0,62.94
PROP_0297,Old Saybrook,Single Family,4,3.0,1718.0,43124.4,46,1,Fair,3,0,1,0,1,1,0,14,19,1,0,0,0,0,8,79,63,8,1,8515,3207,180,3,1,0,0,0,20618,Carport,Heat Pump,Central AC,Metal,Crawl Space,Hardwood,Vinyl Siding,Municipal,Municipal,Summer,549000.0,731276,182276.0,24.93,679961,130961.0,19.26,-51315,-7.02,68.0,95343.0,61.65
PROP_0067,Westport,Single Family,4,3.0,3130.0,43560.0,41,2,Fair,3,1,0,1,1,1,1,18,20,1,0,0,0,0,7,37,33,2,0,36473,11689,120,1,1,0,0,1,54922,Street,Oil,Central AC,Asphalt Shingle,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Winter,1995000.0,2243876,248876.0,11.09,2309559,314559.0,13.62,65683,2.93,47.0,244637.0,61.1
PROP_0206,Norwich,Townhouse,1,2.0,1040.0,8712.0,57,1,Fair,0,0,0,0,0,0,0,20,20,0,1,1,483,0,9,82,65,8,1,2851,1149,90,1,1,0,1,0,4831,Street,Electric,Window Units,Flat,Basement,Carpet,Wood,Municipal,Municipal,Summer,194900.0,294130,99230.0,33.74,252026,57126.0,22.67,-42104,-14.31,39.0,37295.0,56.87
PROP_0117,New Canaan,Single Family,3,3.0,1638.0,8712.0,51,2,Poor,2,0,0,0,1,0,1,25,20,1,0,0,0,0,6,67,58,9,0,27275,6599,90,2,1,0,1,0,59895,Driveway,Gas,Central AC,Asphalt Shingle,Basement,Carpet,Vinyl Siding,Well,Municipal,Summer,1095000.0,1447903,352903.0,24.37,1307931,212931.0,16.28,-139972,-9.67,49.0,138036.0,56.16
PROP_0356,Darien,Single Family,6,6.0,3873.0,21344.4,44,3,Fair,3,0,1,1,1,1,1,25,17,1,1,0,0,0,9,35,29,9,0,30895,16072,10,0,0,0,0,0,130595,Carport,Heat Pump,Window Units,Metal,Crawl Space,Carpet,Vinyl Siding,Municipal,Municipal,Summer,2495000.0,2652974,157974.0,5.95,2912850,417850.0,14.35,259876,9.8,1.0,272255.0,56.13
PROP_0295,Suffield,Single Family,4,4.0,4089.0,60112.8,62,2,Poor,3,0,0,0,1,1,1,20,20,0,0,0,0,0,8,53,45,6,1,13659,5380,120,0,1,0,1,0,67116,Driveway,Oil,,Asphalt Shingle,Crawl Space,Hardwood,Wood,Municipal,Municipal,Spring,827000.0,895853,68853.0,7.69,1022486,195486.0,19.12,126633,14.14,32.0,113370.0,55.98
PROP_0333,Westport,Single Family,5,9.0,7193.0,87120.0,54,2,Fair,3,1,0,1,1,1,0,25,20,0,0,0,0,0,8,79,69,11,0,56601,25683,60,2,0,0,1,0,158108,Street,Gas,Window Units,Asphalt Shingle,Basement,Hardwood,Brick,Municipal,Municipal,Fall,3995000.0,4118638,123638.0,3.0,4454713,459713.0,10.32,336075,8.16,26.0,286605.0,54.5
