property_id,neighborhood,property_type,bedrooms,bathrooms,square_feet,lot_size,age,stories,condition,garage_spaces,has_pool,has_fireplace,has_deck,has_fence,has_central_heat,has_central_air,years_since_roof_replaced,years_since_hvac_replaced,kitchen_updated,bathrooms_updated,has_hoa,hoa_fee,has_special_assessment,school_rating,walk_score,transit_score,listing_month,is_spring_summer,annual_tax,estimated_rent,days_on_market,price_reductions,is_foreclosure,has_lien,owner_occupied,num_distress_keywords,estimated_repair_cost,parking_type,heating_type,cooling_type,roof_type,foundation_type,flooring_type,exterior_type,water_source,sewer_type,listing_season,listed_price,true_market_value,spread,spread_percentage,predicted_market_value,predicted_spread,predicted_spread_pct,prediction_error,prediction_error_pct,distress_score,estimated_profit,opportunity_score
PROP_0685,Westport,Single Family,3,2.0,1680.0,7405.200000000001,35,2,Fair,2,0,0,0,1,1,1,23,20,1,0,0,0,0,7,62,52,7,1,46539,12915,20,1,1,0,1,0,71603,Carport,Gas,Central AC,Flat,Basement,Tile,Vinyl Siding,Municipal,Municipal,Summer,2299000.0,3187005,888005.0,27.86,3186992,887992.0,27.86,-13,-0.0,32.0,801389.0,142.26
PROP_0896,Greenwich,Single Family,4,2.0,2540.0,57499.2,24,2,Fair,3,1,1,1,1,1,1,13,15,1,0,0,0,0,9,31,29,7,1,42571,19050,60,2,1,0,1,0,91177,Driveway,Gas,,Metal,Basement,Carpet,Brick,Municipal,Municipal,Summer,3495000.0,4486722,991722.0,22.1,4486697,991697.0,22.1,-25,-0.0,46.0,885520.0,141.95
PROP_0257,Westport,Single Family,5,4.0,2578.0,26136.0,53,1,Fair,3,0,1,1,0,1,1,25,20,0,0,0,0,0,8,63,52,7,1,21049,9221,180,3,0,0,1,0,32881,Garage,Electric,,Asphalt Shingle,Crawl Space,Laminate,Vinyl Siding,Municipal,Municipal,Summer,1400000.0,1887385,487385.0,25.82,1887190,487190.0,25.82,-195,-0.01,48.0,439309.0,105.17
PROP_0219,Enfield,Townhouse,3,3.0,2142.0,33105.6,46,2,Fair,2,0,1,0,0,1,0,25,18,0,0,1,416,0,8,44,41,1,0,9016,3061,180,0,0,0,0,0,15462,Garage,Gas,Central AC,Asphalt Shingle,Basement,Carpet,Vinyl Siding,Municipal,Municipal,Winter,499900.0,771121,271221.0,35.17,770838,270938.0,35.15,-283,-0.04,18.0,240476.0,97.95
PROP_0196,Monroe,Single Family,2,2.0,2066.0,8712.0,47,2,Fair,1,0,0,0,1,1,1,17,20,1,0,0,0,0,7,24,17,5,1,11514,3176,10,1,1,0,1,0,10598,Garage,Electric,Central AC,Metal,Crawl Space,Carpet,Brick,Municipal,Municipal,Spring,529900.0,793881,263981.0,33.25,793932,264032.0,33.26,51,0.01,31.0,238434.0,96.56
PROP_0306,Darien,Single Family,6,5.0,4621.0,37026.0,51,2,Poor,3,0,0,0,1,0,0,25,20,1,1,0,0,0,7,69,56,1,0,35178,15714,90,0,1,0,1,0,146560,Driveway,Heat Pump,Window Units,Metal,Basement,Carpet,Wood,Municipal,Municipal,Winter,2500000.0,3153483,653483.0,20.72,3153550,653550.0,20.72,67,0.0,29.0,491990.0,96.44
PROP_0295,Suffield,Single Family,4,4.0,4089.0,60112.8,47,2,Fair,3,0,1,0,1,1,1,25,20,1,1,0,0,0,8,51,39,9,0,16853,4902,10,0,0,1,1,1,18936,Carport,Oil,Central AC,Metal,Crawl Space,Laminate,Brick,Municipal,Municipal,Summer,827000.0,1175414,348414.0,29.64,1175236,348236.0,29.63,-178,-0.02,21.0,314300.0,94.89
PROP_0390,Norwalk,Single Family,4,3.0,3202.0,33976.8,51,3,Fair,3,0,0,0,1,1,1,18,20,1,0,0,0,0,6,82,64,12,0,18623,5505,20,1,1,0,1,0,33069,Driveway,Gas,,Flat,Basement,Hardwood,Vinyl Siding,Municipal,Municipal,Fall,849900.0,1191121,341221.0,28.65,1190976,341076.0,28.64,-145,-0.01,32.0,293007.0,92.98
PROP_0628,Burlington,Townhouse,3,3.0,1402.0,66211.2,51,1,Fair,2,0,0,0,1,0,1,25,20,1,0,1,354,0,7,69,63,8,1,10856,2789,180,1,0,0,1,0,12349,Driveway,Gas,Central AC,Asphalt Shingle,Slab,Carpet,Stucco,Municipal,Municipal,Summer,449600.0,668816,219216.0,32.78,668788,219188.0,32.77,-28,-0.0,28.0,191839.0,90.32
PROP_0045,Greenwich,Single Family,5,5.0,3500.0,40510.8,50,2,Fair,3,0,0,1,1,1,0,25,20,0,0,0,0,0,8,84,71,3,0,29147,14309,180,2,0,0,1,1,116754,Driveway,Gas,Central AC,Tile,Slab,Tile,Brick,Municipal,Municipal,Winter,2395000.0,2956884,561884.0,19.0,2956826,561826.0,19.0,-58,-0.0,43.0,430072.0,89.61
